Prüfungsbogen;Position im Bogen;Fragenkatalog-Nr.;Kategorie;Frage;Zusatztext;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort;Richtige Antwort (Text);Bilddateien im ZIP;Bild-URLs;Tags;Quelle
01;11;106;Lichterführung & Signalkörper;Welches Fahrzeug führt diese Signalkörper?;;Ein manövrierunfähiges Fahrzeug.;Ein fischendes Fahrzeug.;Ein Grundsitzer.;Ein manövrierbehindertes Fahrzeug.;C;Ein Grundsitzer.;bilder/spezifische_fragen_see_Signalkoerper-Frage-106-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Signalkoerper-Frage-106-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;12;124;Signale;Welches zusätzliche Schallsignal darf jeder Ankerlieger bei verminderter Sicht geben, um einem sich nähernden Fahrzeug seinen Standort anzuzeigen?;;Mindestens alle zwei Minuten drei aufeinander folgende Töne mit der Pfeife, und zwar lang, kurz, kurz.;Mindestens alle zwei Minuten drei aufeinander folgende Töne mit der Pfeife, und zwar lang, lang, kurz.;Mit der Pfeife kurz, lang, kurz.;Mindestens alle zwei Minuten ein kräftiges Schallsignal, das mit den vorgeschriebenen nicht verwechselt werden kann.;C;Mit der Pfeife kurz, lang, kurz.;"bilder/spezifische_fragen_see_Schallsignal-d-Frage-120-gif.png;bilder/spezifische_fragen_see_Schallsignal-Frage-118-gif.png;bilder/spezifische_fragen_see_Schallsignal-Frage-164-gif.png";"https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-d-Frage-120-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-118-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-164-gif.png";"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;13;132;Verkehrsvorschriften;Wie hat sich ein Segelfahrzeug im freien Seeraum oder außerhalb des Fahrwassers gegenüber einem in Sicht befindlichen fischenden Fahrzeug zu verhalten, wenn die Möglichkeit der Gefahr eines Zusammenstoßes besteht?;;Das Segelfahrzeug muss ausweichen.;Das Segelfahrzeug muss Kurs und Geschwindigkeit zunächst beibehalten.;Das Segelfahrzeug muss seinen Kurs nach Steuerbord ändern.;Das Segelfahrzeug darf die sichere Durchfahrt nicht behindern.;A;Das Segelfahrzeug muss ausweichen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;14;140;Signale;Welche Bedeutung hat folgendes Schallsignal: (mindestens)?;;Bleib-Weg-Signal, Explosionsgefahr durch gefährliche Güter. Sofort den Gefahrenbereich verlassen. Feuer und Zündfunken vermeiden.;Ein ausweichpflichtiges Fahrzeug wird auf seine Ausweichpflicht aufmerksam gemacht.;Allgemeines Gefahren- und Warnsignal.;Seeschifffahrtsstraße gesperrt. Weiterfahrt verboten, sofort aufstoppen.;B;Ein ausweichpflichtiges Fahrzeug wird auf seine Ausweichpflicht aufmerksam gemacht.;bilder/spezifische_fragen_see_Schallsignal-Frage-140-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-140-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;15;147;Verkehrsvorschriften;Wie haben sich Fahrzeuge von weniger als 20 m Länge oder Segelfahrzeuge in Verkehrstrennungsgebieten zu verhalten?;;Sie gelten als Kleinfahrzeuge und dürfen Verkehrstrennungsgebiete nur am Tage und bei guter Sicht befahren.;Sie gelten als Kleinfahrzeuge und dürfen Verkehrstrennungsgebiete nicht befahren.;Sie dürfen die sichere Durchfahrt eines dem Einbahnweg folgenden Maschinenfahrzeugs nicht behindern.;Sie dürfen die Trennzone befahren, damit der durchgehende Verkehr nicht behindert wird.;C;Sie dürfen die sichere Durchfahrt eines dem Einbahnweg folgenden Maschinenfahrzeugs nicht behindern.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;16;150;Lichterführung & Signalkörper;Was ist das für ein Fahrzeug und was ist zu beachten?;;Ein manövrierbehindertes Fahrzeug ohne Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt behindert. Es ist an der Steuerbordseite des Fahrwassers (Rechtsfahrgebot) zu passieren.;Ein manövrierbehindertes Fahrzeug ohne Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt behindert. Es ist an der Seite zu passieren, die in Fahrtrichtung links liegt.;Ein manövrierbehindertes Fahrzeug ohne Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt behindert. Es ist an der Seite zu passieren, an der zwei grüne Rundumlichter senkrecht übereinander angeordnet sind.;Ein manövrierbehindertes Fahrzeug ohne Fahrt durchs Wasser, das die Schifffahrt behindert. Es ist an der Seite zu passieren, an der zwei rote Rundumlichter senkrecht übereinander angeordnet sind.;C;Ein manövrierbehindertes Fahrzeug ohne Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt behindert. Es ist an der Seite zu passieren, an der zwei grüne Rundumlichter senkrecht übereinander angeordnet sind.;bilder/spezifische_fragen_see_Fahrzeug-Frage-150-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Fahrzeug-Frage-150-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;17;158;Vorschriften & Gesetze;Welche verkehrsrechtliche Verpflichtung hat ein Fahrzeugführer nach § 3 der Seeschifffahrtsstraßen-Ordnung (SeeSchStrO), dessen Fahrzeug mit einer UKW-Funkanlage ausgerüstet ist?;;Er ist verpflichtet, die von der Verkehrszentrale gegebenen Verkehrsinformationen und -unterstützungen abzuhören und zu berücksichtigen.;Er ist verpflichtet, bei der Nutzung einer UKW-Funkanlage im Besitz des entsprechenden Funkzeugnisses zu sein.;Er ist verpflichtet, die Funkanlage während der Fahrt in Betrieb zu halten und alle sein Fahrzeug betreffenden Mitteilungen im Schiffslogbuch festzuhalten.;Er ist verpflichtet, bei verminderter Sicht regelmäßig seinen Schiffsnamen und seine Position der Verkehrszentrale mitzuteilen.;A;Er ist verpflichtet, die von der Verkehrszentrale gegebenen Verkehrsinformationen und -unterstützungen abzuhören und zu berücksichtigen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;18;159;Lichterführung & Signalkörper;Welches Licht muss ein Fahrzeug unter Segel von weniger als 12 m Länge oder ein Fahrzeug unter Ruder auf der Seeschifffahrtsstraße führen, wenn es die nach den Kollisionsverhütungsregeln (KVR) vorgeschriebenen Lichter nicht führen kann?;;Ein weißes Topplicht.;Eine Dreifarbenlaterne.;Ein rotes Rundumlicht.;Ein weißes Rundumlicht.;D;Ein weißes Rundumlicht.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;19;171;Vorschriften & Gesetze;Wo ist das Ankern verboten?;;"Im Fahrwasser, an Engstellen und in unübersichtlichen Krümmungen; im Umkreis von 300 m von schwimmenden Geräten, Kabeltonnen und sonstigen Stellen für militärische und zivile Zwecke; vor Hafeneinfahrten, Schleusen, Anlegestellen und Sielen sowie in den Zufahrten des Nord-Ostsee-Kanals und in Vogelschutz- und Naturschutzgebieten sowie generell innerhalb von Nationalparks.";"Im Fahrwasser, an Engstellen und in unübersichtlichen Krümmungen; im Umkreis von 300 m von schwimmenden Geräten, Wracks und sonstigen Schifffahrtshindernissen, Kabeltonnen und sonstigen Stellen für militärische und zivile Zwecke; vor Hafeneinfahrten, Schleusen, Anlegestellen und Sielen sowie in den Zufahrten des Nord-Ostsee-Kanals; innerhalb von Fähr- und Brückenstrecken; 300 m vor und hinter Ankerverbotszeichen.";"Im Fahrwasser, auf Seeschifffahrtsstraßen, an Engstellen und in unübersichtlichen Krümmungen; im Umkreis von 300 m von schwimmenden Geräten, Wracks und sonstigen Schifffahrtshindernissen, Kabeltonnen und sonstigen Stellen für militärische und zivile Zwecke; vor Hafeneinfahrten, Schleusen, Anlegestellen und Sielen sowie in den Zufahrten des Nord-Ostsee-Kanals; innerhalb von Fähr- und Brückenstrecken; 300 m vor und hinter Ankerverbotszeichen.";Im Fahrwasser, wenn es durch die Generaldirektion Wasserstraßen- und Schifffahrt (GDWS) bekanntgemacht worden ist. Außerhalb des Fahrwassers auf Abschnitten, die durch die GDWS bekanntgemacht oder durch entsprechende Sichtzeichen bezeichnet sind.;B;"Im Fahrwasser, an Engstellen und in unübersichtlichen Krümmungen; im Umkreis von 300 m von schwimmenden Geräten, Wracks und sonstigen Schifffahrtshindernissen, Kabeltonnen und sonstigen Stellen für militärische und zivile Zwecke; vor Hafeneinfahrten, Schleusen, Anlegestellen und Sielen sowie in den Zufahrten des Nord-Ostsee-Kanals; innerhalb von Fähr- und Brückenstrecken; 300 m vor und hinter Ankerverbotszeichen.";;;"Spezifische Fragen See;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;20;176;Schifffahrtszeichen;Welche Bedeutung hat folgendes Tafelzeichen?;;Mindestabstand in Metern, der in der nachfolgenden Strecke vom Aufstellungsort der Tafel an eingehalten werden muss.;Die Geschwindigkeit durch das Wasser in sm/h (Knoten) auf dem Nord-Ostsee-Kanal (NOK) über Grund in sm/h, die nicht überschritten werden darf.;Mindestabstand zu anderen Fahrzeugen in Metern, der im bekanntgemachten Streckenabschnitt nicht unterschritten werden darf.;Die Geschwindigkeit durch das Wasser in km/h, auf dem Nord-Ostsee-Kanal (NOK) über Grund in km/h, die nicht überschritten werden darf.;D;Die Geschwindigkeit durch das Wasser in km/h, auf dem Nord-Ostsee-Kanal (NOK) über Grund in km/h, die nicht überschritten werden darf.;bilder/spezifische_fragen_see_Gebotszeichen-B06-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Gebotszeichen-B06-gif.png;"Spezifische Fragen See;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;21;182;Schifffahrtszeichen;Welche Bedeutung hat folgendes Schifffahrtszeichen?;;Kennzeichnung von Sperrgebieten.;Kennzeichnung von Schießgebieten.;Kennzeichnung von besonderen Gebieten und Stellen.;Kennzeichnung von Badegebieten.;C;Kennzeichnung von besonderen Gebieten und Stellen.;bilder/spezifische_fragen_see_Schifffahrtszeichen-Frage-182-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schifffahrtszeichen-Frage-182-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;22;194;Schifffahrtszeichen;Welche Bedeutung hat folgende(s) Tonne/Schifffahrtszeichen?;;Die Backbordseite des Fahrwassers.;Die Kennzeichnung eines Hindernisses im Wattfahrwasser.;Die Mitte eines Wattfahrwassers.;Die Steuerbordseite des Fahrwassers.;A;Die Backbordseite des Fahrwassers.;bilder/spezifische_fragen_see_Schifffahrtszeichen-Frage-194-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schifffahrtszeichen-Frage-194-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;23;202;Schifffahrtszeichen;Welche Bedeutung hat folgendes Schifffahrtszeichen?;;Kennzeichnung einer allgemeinen Gefahrenstelle, Ostquadrant.;Kennzeichnung einer allgemeinen Gefahrenstelle, Nordquadrant.;Kennzeichnung einer allgemeinen Gefahrenstelle, Westquadrant.;Kennzeichnung einer allgemeinen Gefahrenstelle, Südquadrant.;D;Kennzeichnung einer allgemeinen Gefahrenstelle, Südquadrant.;bilder/spezifische_fragen_see_Warnzeichen-B15c-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Warnzeichen-B15c-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;24;209;Schifffahrtszeichen;Welche Bedeutung hat das Feuer einer Leuchttonne mit folgender Kennung: Fl. (2)?;;Westlicher Quadrant einer allgemeinen Gefahrenstelle, die westlich passiert werden muss.;Südlicher Quadrant einer allgemeinen Gefahrenstelle, die südlich passiert werden muss.;Nördlicher Quadrant einer allgemeinen Gefahrenstelle, die nördlich passiert werden muss.;Eine Einzelgefahrenstelle, die an allen Seiten passiert werden kann.;D;Eine Einzelgefahrenstelle, die an allen Seiten passiert werden kann.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;25;216;Umwelt- & Naturschutz;Wo findet man die Grenzen der Naturschutzgebiete auf See?;;Im Bundesnaturschutzgesetz.;In den Kollisionsverhütungsregeln.;In Seekarten und Sportschifffahrtskarten des Bundesamtes für Seeschifffahrt und Hydrographie.;In der Seeschifffahrtsstraßen-Ordnung.;C;In Seekarten und Sportschifffahrtskarten des Bundesamtes für Seeschifffahrt und Hydrographie.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;26;224;Schifffahrtszeichen;Was versteht man unter der Wiederkehr eines Leuchtfeuers?;;Zeitraum vom Ende der Taktkennung bis zum Einsetzen der nächsten gleichen Taktkennung.;Zeitraum vom Einsetzen der Taktkennung bis zum Einsetzen der nächsten gleichen Taktkennung.;Zeitraum vom Einsetzen der Taktkennung bis zum Ende der nächsten gleichen Taktkennung.;Zeitraum vom Einsetzen der Taktkennung bis zum Ende der Taktkennung.;B;Zeitraum vom Einsetzen der Taktkennung bis zum Einsetzen der nächsten gleichen Taktkennung.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;27;235;Navigation;Wovon sollte man sich vor Gebrauch einer Seekarte überzeugen?;;Dass die Nummerierung mit dem Katalog übereinstimmt.;Dass die obere Kante in Nordrichtung weist.;Dass die Karte auf den neuesten Stand berichtigt ist.;Dass die Seekarte auf mittleres Tidehochwasser bezogen ist.;C;Dass die Karte auf den neuesten Stand berichtigt ist.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;28;253;Wetter;Was versteht man unter einem Hochwasser?;;Eintritt des niedrigsten Wasserstands beim Übergang vom Fallen zum Steigen.;Eintritt des höchsten Wasserstands beim Übergang vom Steigen zum Fallen.;Steigen des Wassers nach Eintritt des niedrigsten Wasserstands.;Fallen des Wassers nach Eintritt des höchsten Wasserstands.;B;Eintritt des höchsten Wasserstands beim Übergang vom Steigen zum Fallen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;29;265;Wetter;Was zeigt die folgende Abbildung?;;Abbildung eines Hochdruckgebietes auf der Nordhalbkugel, Isobaren mit Angabe des Luftdrucks in hPa.;Abbildung eines Hochdruckgebietes auf der Südhalbkugel, Isobaren mit Angabe des Luftdrucks in hPa.;Abbildung eines Hochdruckgebietes auf der Nordhalbkugel, Isobaren mit Angabe des Luftdrucks in hPa, Zugrichtung Nordwest.;Abbildung eines Hochdruckgebietes auf der Südhalbkugel, Isobaren mit Angabe des Luftdrucks in hPa, Zugrichtung Südwest.;A;Abbildung eines Hochdruckgebietes auf der Nordhalbkugel, Isobaren mit Angabe des Luftdrucks in hPa.;bilder/spezifische_fragen_see_Abbildung-Frage-265-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Abbildung-Frage-265-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
01;30;271;Sicherheit;Wie hat man seine Fahrweise im Fahrwasser bei verminderter Sicht aufgrund seemännischer Sorgfaltspflicht einzurichten, wenn das Fahrzeug nicht über die technische Ausrüstung, insbesondere zur Ortung anderer Fahrzeuge, verfügt?;;Unverzüglich die Fahrt einstellen und ankern, wenn dies nicht möglich ist, vorsichtig weiterfahren und möglichst im Kielwasser eines vorausfahrenden Fahrzeugs halten.;Das Fahrwasser verlassen und wenn möglich, Flachwassergebiet aufsuchen und ankern. Wenn dies nicht möglich ist, im Fahrwasser äußerst rechts halten.;Im Fahrwasser äußerst rechts halten und den nächstgelegenen Hafen oder Liegeplatz anlaufen. Im Zweifel andere Fahrzeuge nach Position und richtigem Kurs fragen.;Umsichtig, aber zügig weiterfahren, um den übrigen Verkehr nicht zu behindern. Beim Hören fremder Nebelsignale aufstoppen und abwarten, dabei fortlaufend die Wassertiefe loten.;B;Das Fahrwasser verlassen und wenn möglich, Flachwassergebiet aufsuchen und ankern. Wenn dies nicht möglich ist, im Fahrwasser äußerst rechts halten.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/01
02;1;7;Lichterführung & Signalkörper;Welches Signal führt ein Fahrzeug unter Segel, das als Maschinenfahrzeug gilt, zusätzlich am Tage?;;Einen schwarzen Kegel, Spitze oben.;Zwei schwarze Bälle senkrecht übereinander.;Einen schwarzen Kegel, Spitze unten.;Einen schwarzen Rhombus.;C;Einen schwarzen Kegel, Spitze unten.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;2;15;Verkehrsvorschriften;Zwei Motorboote nähern sich auf kreuzenden Kursen. Es besteht die Gefahr eines Zusammenstoßes. Wer ist ausweichpflichtig?;;Es muss das leewärtige Fahrzeug dem luvwärtigen Fahrzeug ausweichen.;Es muss das luvwärtige Fahrzeug dem leewärtigen Fahrzeug ausweichen.;Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Backbordseite hat.;Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Steuerbordseite hat.;D;Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Steuerbordseite hat.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;3;27;Schifffahrtszeichen;Welche Bedeutung hat folgendes Tafelzeichen?;;Verbot der Durchfahrt, jedoch für Kleinfahrzeuge ohne Antriebsmaschine befahrbar.;Verbot der Durchfahrt, jedoch für Kleinfahrzeuge ohne laufende Antriebsmaschine befahrbar.;Verbot der Durchfahrt und Sperrung für Kleinfahrzeuge.;Verbot der Durchfahrt und Sperrung der Schifffahrt.;D;Verbot der Durchfahrt und Sperrung der Schifffahrt.;bilder/basisfragen_Verbotszeichen-A01-Tafeln-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Verbotszeichen-A01-Tafeln-gif.png;"Basisfragen;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;4;39;Sicherheit;Woran kann man erkennen, ob der Anker hält?;;Wenn beim Handauflegen auf die Ankerkette oder -leine kein Rucken zu verspüren ist und sich die Ankerpeilung ändert.;Wenn Ankerkette oder -leine nicht vibrieren und sich der anliegende Magnetkompasskurs nicht verändert.;Wenn beim Handauflegen auf die Ankerkette oder -leine kein Rucken zu verspüren ist und das Fahrzeug nicht schwojt.;Wenn beim Handauflegen auf die Ankerkette oder -leine kein Rucken zu verspüren ist und sich die Ankerpeilung nicht ändert.;D;Wenn beim Handauflegen auf die Ankerkette oder -leine kein Rucken zu verspüren ist und sich die Ankerpeilung nicht ändert.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;5;48;Grundlagen;Welche Anlegeseite ist mit rechtsdrehendem Propeller empfehlenswert und warum?;;Es gibt keine empfehlenswerte Anlegeseite.;Die Steuerbordseite - der Radeffekt zieht das Fahrzeug an die Pier.;Die Steuerbord- oder Backbordseite je nach Ruderlage.;Die Backbordseite - der Radeffekt zieht das Fahrzeug an die Pier.;D;Die Backbordseite - der Radeffekt zieht das Fahrzeug an die Pier.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;6;67;Sicherheit;Wie oft muss man aufblasbare Rettungsmittel warten lassen?;;Jährlich und nach jedem Einsatz oder Übungsgebrauch.;Jährlich, jeweils vor Beginn der Wassersportsaison.;Entsprechend der Herstellerangabe, mindestens alle 2 Jahre.;Entsprechend der Herstellerangabe, mindestens alle 3 Jahre.;C;Entsprechend der Herstellerangabe, mindestens alle 2 Jahre.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
02;7;71;Wetter;Welche Faktoren sind hauptsächlich für das Wettergeschehen, also für Wind und Niederschläge, ausschlaggebend?;;Luftdruckänderung, Luftfeuchtigkeit und Temperatur.;Luftdruckänderung, Luftfeuchtigkeit und Jahreszeit.;Luftdruckänderung, Sonneneinstrahlung und Höhenlage.;Luftdruckänderung, Tageszeit und Temperatur.;A;Luftdruckänderung, Luftfeuchtigkeit und Temperatur.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/02
