Aufgabe-ID;Navigationsaufgabe;Teilaufgabe;Szenario;Aufgabenstellung;Amtliches Ergebnis;Hinweis;Stand;Quelle
NAV-02-02;2;2;"Ein Sportboot befindet sich am 10.06.2011 in der Deutschen Bucht auf der Reise von Helgoland nach Cuxhaven. Die Fahrt über Grund beträgt 10 kn. Um 11:00 Uhr wird 1,2 sm südlich von Helgoland die Tonne ""Helgoland-O"" nahebei passiert.";"Im Abstand von ca. 0,6 sm südwestlich der Tonne ""Helgoland-O"" befindet sich eine Eintragung. Was bedeutet diese Eintragung in der Seekarte?";Wrack, Kartentiefe 53,6 m;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-02/Navigationsaufgabe-02-node.html
NAV-02-03;2;3;"Ein Sportboot befindet sich am 10.06.2011 in der Deutschen Bucht auf der Reise von Helgoland nach Cuxhaven. Die Fahrt über Grund beträgt 10 kn. Um 11:00 Uhr wird 1,2 sm südlich von Helgoland die Tonne ""Helgoland-O"" nahebei passiert.";"Von der Tonne ""Helgoland-O"" aus wird ein MgK von 116° gesteuert. Die Ablenkung beträgt +3°, die Mw ist der Seekarte zu entnehmen. Wie lautet der rwK?";rwK = 120°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-02/Navigationsaufgabe-02-node.html
NAV-02-04;2;4;"Ein Sportboot befindet sich am 10.06.2011 in der Deutschen Bucht auf der Reise von Helgoland nach Cuxhaven. Die Fahrt über Grund beträgt 10 kn. Um 11:00 Uhr wird 1,2 sm südlich von Helgoland die Tonne ""Helgoland-O"" nahebei passiert.";Tragen Sie den rechtweisenden Kurs in die Seekarte ein.;Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-02/Navigationsaufgabe-02-node.html
NAV-02-05;2;5;"Ein Sportboot befindet sich am 10.06.2011 in der Deutschen Bucht auf der Reise von Helgoland nach Cuxhaven. Die Fahrt über Grund beträgt 10 kn. Um 11:00 Uhr wird 1,2 sm südlich von Helgoland die Tonne ""Helgoland-O"" nahebei passiert.";"Nach 11,1 sm Distanz wird die Tonne ""Außenelbe-Reede 4"" nahebei passiert. Beschreiben Sie Farbe, Kennung und Toppzeichen des Schifffahrtszeichens.";Farbe: gelb Kennung: gelbes Blitzfeuer mit 4 Sekunden Wiederkehr Toppzeichen: keines;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-02/Navigationsaufgabe-02-node.html
NAV-02-06;2;6;"Ein Sportboot befindet sich am 10.06.2011 in der Deutschen Bucht auf der Reise von Helgoland nach Cuxhaven. Die Fahrt über Grund beträgt 10 kn. Um 11:00 Uhr wird 1,2 sm südlich von Helgoland die Tonne ""Helgoland-O"" nahebei passiert.";In welcher Zeit wird die in Frage 5 genannte Distanz zurückgelegt?;67 min.;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-02/Navigationsaufgabe-02-node.html
NAV-02-07;2;7;"Ein Sportboot befindet sich am 10.06.2011 in der Deutschen Bucht auf der Reise von Helgoland nach Cuxhaven. Die Fahrt über Grund beträgt 10 kn. Um 11:00 Uhr wird 1,2 sm südlich von Helgoland die Tonne ""Helgoland-O"" nahebei passiert.";Auf welcher Position befindet sich das Schiff nach Koppelort um 11:54 Uhr?;54° 04,5' N 008° 06,7' E;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-02/Navigationsaufgabe-02-node.html
NAV-02-08;2;8;"Ein Sportboot befindet sich am 10.06.2011 in der Deutschen Bucht auf der Reise von Helgoland nach Cuxhaven. Die Fahrt über Grund beträgt 10 kn. Um 11:00 Uhr wird 1,2 sm südlich von Helgoland die Tonne ""Helgoland-O"" nahebei passiert.";"Um 11:54 Uhr wird die Leuchttonne ""Außenelbe-Reede 4"" mit den Hand-Peilkompass gepeilt: MgP = 146°. Die Ablenkung beträgt 0°, die Mw ist der Seekarte zu entnehmen. Wie lautet die rw-Peilung?";rwP = 147°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-02/Navigationsaufgabe-02-node.html
NAV-02-09;2;9;"Ein Sportboot befindet sich am 10.06.2011 in der Deutschen Bucht auf der Reise von Helgoland nach Cuxhaven. Die Fahrt über Grund beträgt 10 kn. Um 11:00 Uhr wird 1,2 sm südlich von Helgoland die Tonne ""Helgoland-O"" nahebei passiert.";Das Schiff befindet sich zeitgleich zur Peilung auf der 20-Meter-Linie. Wie lautet die Besteckversetzung?;BV = 007° - 1,6 sm;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-02/Navigationsaufgabe-02-node.html
NAV-03-01;3;1;"Ein Sportboot befindet sich am 23.05.2011 in der Deutschen Bucht auf der Fahrt aus der Jade nach Langeoog. Um 13:30 Uhr wird die Tonne ""1b/Jade 1"" nahebei passiert. Die Fahrt über Grund wird mit 6 kn angenommen.";Entnehmen Sie der Seekarte die geographische Position des Sportbootes um 13:30 Uhr.;53° 52,4' N 007° 44,0' E;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-03/Navigationsaufgabe-03-node.html
NAV-03-02;3;2;"Ein Sportboot befindet sich am 23.05.2011 in der Deutschen Bucht auf der Fahrt aus der Jade nach Langeoog. Um 13:30 Uhr wird die Tonne ""1b/Jade 1"" nahebei passiert. Die Fahrt über Grund wird mit 6 kn angenommen.";"Von dieser Tonne aus wird der Kurs auf die Tonne ""Accumer Ee"" abgesetzt. Tragen Sie den Kurs in die Seekarte ein.";Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-03/Navigationsaufgabe-03-node.html
NAV-03-03;3;3;"Ein Sportboot befindet sich am 23.05.2011 in der Deutschen Bucht auf der Fahrt aus der Jade nach Langeoog. Um 13:30 Uhr wird die Tonne ""1b/Jade 1"" nahebei passiert. Die Fahrt über Grund wird mit 6 kn angenommen.";Wie lautet der rwK?;rwK = 240°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-03/Navigationsaufgabe-03-node.html
NAV-03-04;3;4;"Ein Sportboot befindet sich am 23.05.2011 in der Deutschen Bucht auf der Fahrt aus der Jade nach Langeoog. Um 13:30 Uhr wird die Tonne ""1b/Jade 1"" nahebei passiert. Die Fahrt über Grund wird mit 6 kn angenommen.";Die Ablenkung beträgt-2°, die Mw ist der Seekarte zu entnehmen. Wie lautet der MgK?;MgK = 242°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-03/Navigationsaufgabe-03-node.html
NAV-03-05;3;5;"Ein Sportboot befindet sich am 23.05.2011 in der Deutschen Bucht auf der Fahrt aus der Jade nach Langeoog. Um 13:30 Uhr wird die Tonne ""1b/Jade 1"" nahebei passiert. Die Fahrt über Grund wird mit 6 kn angenommen.";"Wann wird die Tonne ""Accumer Ee"" voraussichtlich erreicht?";15:12 Uhr;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-03/Navigationsaufgabe-03-node.html
NAV-03-06;3;6;"Ein Sportboot befindet sich am 23.05.2011 in der Deutschen Bucht auf der Fahrt aus der Jade nach Langeoog. Um 13:30 Uhr wird die Tonne ""1b/Jade 1"" nahebei passiert. Die Fahrt über Grund wird mit 6 kn angenommen.";"Auf Position 53° 49,5' N 007° 36,8' E ( ca. 1,9 sm nordwestlich der Ansteuerungstonne ""Otzumer Balje"") finden Sie einen roten Eintrag mit einem ""A"". Was bedeutet diese Eintragung in die Seekarte?";"Position der Gezeitenstromangabe, oder ""Stromraute""";;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-03/Navigationsaufgabe-03-node.html
NAV-03-07;3;7;"Ein Sportboot befindet sich am 23.05.2011 in der Deutschen Bucht auf der Fahrt aus der Jade nach Langeoog. Um 13:30 Uhr wird die Tonne ""1b/Jade 1"" nahebei passiert. Die Fahrt über Grund wird mit 6 kn angenommen.";"Um 14:30 Uhr wird mit dem Peilaufsatz des Magnetkompasses eine Kreuzpeilung durchgeführt. Die Ablenkung für den anliegenden Kurs beträgt-2°, die Mw ist der Seekarte zu entnehmen. Tonne ""TG15"" MgP = 292° Tonne ""TG17/Weser1"" MgP = 347° Tonne ""Accumer Ee"" MgP = 234° Wie lauten die rw-Peilungen?";"Tonne ""TG15"" rwP = 290° Tonne ""TG17/Weser1"" rwP = 345° Tonne ""Accumer Ee"" rwP = 232°";;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-03/Navigationsaufgabe-03-node.html
NAV-03-08;3;8;"Ein Sportboot befindet sich am 23.05.2011 in der Deutschen Bucht auf der Fahrt aus der Jade nach Langeoog. Um 13:30 Uhr wird die Tonne ""1b/Jade 1"" nahebei passiert. Die Fahrt über Grund wird mit 6 kn angenommen.";Tragen Sie die rechtweisenden Peilungen in die Seekarte ein.;Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-03/Navigationsaufgabe-03-node.html
NAV-03-09;3;9;"Ein Sportboot befindet sich am 23.05.2011 in der Deutschen Bucht auf der Fahrt aus der Jade nach Langeoog. Um 13:30 Uhr wird die Tonne ""1b/Jade 1"" nahebei passiert. Die Fahrt über Grund wird mit 6 kn angenommen.";"Beschreiben Sie Farbe, Kennung und Toppzeichen der Tonne ""Accumer Ee"".";Farbe: rot-weiß senkrecht gestreift Kennung: weißes Gleichtaktfeuer mit 8 Sekunden Wiederkehr Toppzeichen: roter Ball;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-03/Navigationsaufgabe-03-node.html
NAV-04-01;4;1;"Ein aus Langeoog auslaufendes Sportboot befindet sich am 18.04.2014 um 09:00 Uhr nahe bei der Tonne ""Accumer Ee"".";Entnehmen Sie der Seekarte die geographische Position des Bootes um 09:00 Uhr.;53° 47,2' N 007° 29,1' E;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-04/Navigationsaufgabe-04-node.html
NAV-04-02;4;2;"Ein aus Langeoog auslaufendes Sportboot befindet sich am 18.04.2014 um 09:00 Uhr nahe bei der Tonne ""Accumer Ee"".";"Von der Tonne ""Accumer Ee"" aus wird der Kurs auf die Tonne ""Otzumer Balje"" abgesetzt. Tragen Sie den Kurs in die Seekarte ein.";Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-04/Navigationsaufgabe-04-node.html
NAV-04-03;4;3;"Ein aus Langeoog auslaufendes Sportboot befindet sich am 18.04.2014 um 09:00 Uhr nahe bei der Tonne ""Accumer Ee"".";Wie lautet der rwK?;rwK = 081°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-04/Navigationsaufgabe-04-node.html
NAV-04-04;4;4;"Ein aus Langeoog auslaufendes Sportboot befindet sich am 18.04.2014 um 09:00 Uhr nahe bei der Tonne ""Accumer Ee"".";Die Ablenkung beträgt +7°, die Mw ist der Seekarte zu entnehmen. Wie lautet der MgK?;MgK = 074°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-04/Navigationsaufgabe-04-node.html
NAV-04-05;4;5;"Ein aus Langeoog auslaufendes Sportboot befindet sich am 18.04.2014 um 09:00 Uhr nahe bei der Tonne ""Accumer Ee"".";"Beschreiben Sie Farbe, Kennung und Toppzeichen der Tonne ""Otzumer Balje"".";Farbe: rot-weiß senkrecht gestreift Kennung: weißes Gleichtaktfeuer mit 4 Sekunden Wiederkehr Toppzeichen: roter Ball;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-04/Navigationsaufgabe-04-node.html
NAV-04-06;4;6;"Ein aus Langeoog auslaufendes Sportboot befindet sich am 18.04.2014 um 09:00 Uhr nahe bei der Tonne ""Accumer Ee"".";Es ist 10:00 Uhr. Die durchschnittliche Fahrt über Grund betrug in der letzten Stunde 6 kn. Auf welcher Position befindet sich das Schiff nach Koppelort?;53° 48,2'N 007° 39,2' E;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-04/Navigationsaufgabe-04-node.html
NAV-04-07;4;7;"Ein aus Langeoog auslaufendes Sportboot befindet sich am 18.04.2014 um 09:00 Uhr nahe bei der Tonne ""Accumer Ee"".";"Sie beschließen über die Otzumer Balje und das Langeooger Wattfahrwasser hinter der Insel zurück zum Hafen zu laufen. ca. 1,2 sm südwestlich der Tonne ""Otzumer Balje"" finden Sie zwei ähnliche Einträge. Was bedeuten diese Eintragungen in der Seekarte?";Wracks mit 3,7 m bzw. 1,4 m Tiefe;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-04/Navigationsaufgabe-04-node.html
NAV-04-08;4;8;"Ein aus Langeoog auslaufendes Sportboot befindet sich am 18.04.2014 um 09:00 Uhr nahe bei der Tonne ""Accumer Ee"".";"Um 10:15 Uhr peilen Sie mit dem Peilaufsatz am Magnetkompass die westlichste der drei Kirchen auf Spiekeroog in MgP = 110° und die Tonne ""Otzumer Balje"" in MgP = 030°. Die Ablenkung für den anliegenden Kurs beträgt +5°, die Mw ist der Karte zu entnehmen. Wie lauten die rw-Peilungen?";Kirche rwP = 115° Tonne rwp = 035°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-04/Navigationsaufgabe-04-node.html
NAV-04-09;4;9;"Ein aus Langeoog auslaufendes Sportboot befindet sich am 18.04.2014 um 09:00 Uhr nahe bei der Tonne ""Accumer Ee"".";Tragen Sie die rechtweisenden Peilungen in die Karte ein.;Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-04/Navigationsaufgabe-04-node.html
NAV-05-01;5;1;Ein Motorboot befindet sich am 29.07.2011 in der Küstenverkehrszone und möchte in die Jade einlaufen.;"Zur Standortbestimmung werden um 14:00 Uhr mit dem Peilaufsatz am Magnetkompass die folgenden Objekte gepeilt. Die Ablenkung für den anliegenden Kurs beträgt-4°, die Mw ist der Seekarte zu entnehmen. Wasserturm Langeoog MgP = 225° Tonne ""Otzumer Balje"" MgP = 131° Wie lauten die rw-Peilungen?";Wasserturm rwP = 221° Tonne rwP = 127°;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-05/Navigationsaufgabe-05-node.html
NAV-05-02;5;2;Ein Motorboot befindet sich am 29.07.2011 in der Küstenverkehrszone und möchte in die Jade einlaufen.;Tragen Sie die rechtweisenden Peilungen in die Seekarte ein.;Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-05/Navigationsaufgabe-05-node.html
NAV-05-03;5;3;Ein Motorboot befindet sich am 29.07.2011 in der Küstenverkehrszone und möchte in die Jade einlaufen.;Entnehmen Sie der Seekarte die geographische Position des ermittelten Standortes.;53° 49,7' N 007° 35,8' E;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-05/Navigationsaufgabe-05-node.html
NAV-05-04;5;4;Ein Motorboot befindet sich am 29.07.2011 in der Küstenverkehrszone und möchte in die Jade einlaufen.;"Von diesem Ort aus wird der Kurs auf die Tonne ""1b/Jade1"" abgesetzt. Tragen Sie den Kurs in die Seekarte ein.";Siehe Karte;;01. August 2023;https://www.elwis.de/DE/Sportschifffahrt/Sportbootfuehrerscheine/Fragenkatalog-See/Navigationsaufgaben/Navigationsaufgabe-05/Navigationsaufgabe-05-node.html
