content_id;official_number;module;smartmodus_kategorie;scope;question;answer_a;answer_b;answer_c;answer_d;correct_answer;topic;subtopic;competency;image_required;source_question_id;content_role;feedback_correct;feedback_incorrect;evaluation_mode;content_status
SBF-BASIS-0011;11;Basis;Basisfragen;See + Binnen;Wozu dient die Lichterführung?;Sie zeigt Fahrtrichtung und Lage eines Fahrzeugs an.;Sie zeigt Kurs und Geschwindigkeit eines Fahrzeugs an.;Sie zeigt Fahrtrichtung und Position eines Fahrzeugs an.;Sie zeigt Fahrtrichtung und Kurs eines Fahrzeugs an.;A;Lichter, Zeichen & Schallsignale;Fahrzeug- und Verkehrssignale;Signale erkennen und Bedeutung zuordnen;false;SBFSEE-0011 | SBFBIN-0011;shared_basis;"Richtig.

Sie zeigt Fahrtrichtung und Lage eines Fahrzeugs an. Aus Farbe, Anordnung und Sichtbarkeit der Lichter lassen sich Richtung, Lage und häufig auch Art oder Zustand eines Fahrzeugs erkennen.";"Falsch.

Richtig ist: „Sie zeigt Fahrtrichtung und Lage eines Fahrzeugs an.“

Aus Farbe, Anordnung und Sichtbarkeit der Lichter lassen sich Richtung, Lage und häufig auch Art oder Zustand eines Fahrzeugs erkennen.";multiple_choice;Feedback erstellt
SBF-BASIS-0012;12;Basis;Basisfragen;See + Binnen;Was für eine Laterne kann ein Segelfahrzeug von weniger als 20 m Länge anstelle der Seitenlichter und des Hecklichtes führen?;Eine Dreifarbenlaterne an oder nahe der Mastspitze.;Eine Zweifarbenlaterne an gut sichtbarer Stelle.;Eine Dreifarbenlaterne an gut sichtbarer Stelle.;Eine Zweifarbenlaterne an oder nahe der Mastspitze.;A;Lichter, Zeichen & Schallsignale;Fahrzeug- und Verkehrssignale;Signale erkennen und Bedeutung zuordnen;false;SBFSEE-0012 | SBFBIN-0012;shared_basis;"Richtig.

Eine Dreifarbenlaterne an oder nahe der Mastspitze. Bei einem Segelfahrzeug unter 20 Metern darf die Dreifarbenlaterne die getrennten Seiten- und Hecklichter ersetzen; sie gehört an oder nahe die Mastspitze.";"Falsch.

Richtig ist: „Eine Dreifarbenlaterne an oder nahe der Mastspitze.“

Bei einem Segelfahrzeug unter 20 Metern darf die Dreifarbenlaterne die getrennten Seiten- und Hecklichter ersetzen; sie gehört an oder nahe die Mastspitze.";multiple_choice;Feedback erstellt
SBF-BASIS-0013;13;Basis;Basisfragen;See + Binnen;Welche Lichter muss ein Fahrzeug unter Segel, das gleichzeitig mit Maschinenkraft fährt, führen?;Die für ein Maschinenfahrzeug vorgeschriebenen Lichter.;Die für ein Segelfahrzeug vorgeschriebenen Lichter.;Zwei rote Rundumlichter senkrecht übereinander.;Seitenlichter rot und grün und ein rotes Rundumlicht.;A;Lichter, Zeichen & Schallsignale;Fahrzeug- und Verkehrssignale;Signale erkennen und Bedeutung zuordnen;false;SBFSEE-0013 | SBFBIN-0013;shared_basis;"Richtig.

Die für ein Maschinenfahrzeug vorgeschriebenen Lichter. Die gleichzeitige Nutzung des Motors macht das Segelfahrzeug verkehrsrechtlich zum Maschinenfahrzeug; deshalb gelten dessen Lichtvorschriften.";"Falsch.

Richtig ist: „Die für ein Maschinenfahrzeug vorgeschriebenen Lichter.“

Die gleichzeitige Nutzung des Motors macht das Segelfahrzeug verkehrsrechtlich zum Maschinenfahrzeug; deshalb gelten dessen Lichtvorschriften.";multiple_choice;Feedback erstellt
SBF-BASIS-0014;14;Basis;Basisfragen;See + Binnen;Wie weichen zwei Motorboote aus, die sich auf entgegengesetzten Kursen nähern?;Jedes Fahrzeug muss seinen Kurs nach Steuerbord ändern.;Jedes Fahrzeug muss seinen Kurs nach Backbord ändern.;Es muss das luvwärtige Fahrzeug dem leewärtigen Fahrzeug ausweichen.;Es muss das leewärtige Fahrzeug dem luvwärtigen Fahrzeug ausweichen.;A;Ausweichregeln;KVR / Kollisionsvermeidung;Kollisionslage beurteilen und richtige Maßnahme wählen;false;SBFSEE-0014 | SBFBIN-0014;shared_basis;"Richtig.

Jedes Fahrzeug muss seinen Kurs nach Steuerbord ändern. Die beiderseitige Kursänderung nach Steuerbord führt bei einer Gegenkurslage zu einer klaren Backbord-an-Backbord-Passage.";"Falsch.

Richtig ist: „Jedes Fahrzeug muss seinen Kurs nach Steuerbord ändern.“

Die beiderseitige Kursänderung nach Steuerbord führt bei einer Gegenkurslage zu einer klaren Backbord-an-Backbord-Passage.";multiple_choice;Feedback erstellt
SBF-BASIS-0015;15;Basis;Basisfragen;See + Binnen;Zwei Motorboote nähern sich auf kreuzenden Kursen. Es besteht die Gefahr eines Zusammenstoßes. Wer ist ausweichpflichtig?;Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Steuerbordseite hat.;Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Backbordseite hat.;Es muss das luvwärtige Fahrzeug dem leewärtigen Fahrzeug ausweichen.;Es muss das leewärtige Fahrzeug dem luvwärtigen Fahrzeug ausweichen.;A;Ausweichregeln;KVR / Kollisionsvermeidung;Kollisionslage beurteilen und richtige Maßnahme wählen;false;SBFSEE-0015 | SBFBIN-0015;shared_basis;"Richtig.

Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Steuerbordseite hat. Bei kreuzenden Maschinenfahrzeugen weicht aus, wer das andere an Steuerbord sieht; so ist die Ausweichpflicht eindeutig verteilt.";"Falsch.

Richtig ist: „Dasjenige Fahrzeug muss ausweichen, welches das Andere an seiner Steuerbordseite hat.“

Bei kreuzenden Maschinenfahrzeugen weicht aus, wer das andere an Steuerbord sieht; so ist die Ausweichpflicht eindeutig verteilt.";multiple_choice;Feedback erstellt
SBF-BASIS-0016;16;Basis;Basisfragen;See + Binnen;Welche Bedeutung hat folgendes Schallsignal?;Bleib-weg-Signal, Gefahrenbereich sofort verlassen.;Allgemeines Gefahr- und Warnsignal.;Ankerlieger über 100 m Länge.;Manövrierbehinderter Schleppverband über 200 m Länge.;A;Lichter, Zeichen & Schallsignale;Fahrzeug- und Verkehrssignale;Signale erkennen und Bedeutung zuordnen;true;SBFSEE-0016 | SBFBIN-0016;shared_basis;"Richtig.

Bleib-weg-Signal, Gefahrenbereich sofort verlassen. Das Bleib-weg-Signal warnt vor einem unmittelbaren Gefahrenbereich. Dieser ist ohne Verzögerung zu verlassen.";"Falsch.

Richtig ist: „Bleib-weg-Signal, Gefahrenbereich sofort verlassen.“

Das Bleib-weg-Signal warnt vor einem unmittelbaren Gefahrenbereich. Dieser ist ohne Verzögerung zu verlassen.";multiple_choice;Feedback erstellt
SBF-BASIS-0017;17;Basis;Basisfragen;See + Binnen;Welche Bedeutung hat folgendes Tafelzeichen?;Überholverbot.;Begegnungsverbot.;Überholverbot für Fahrzeuge unter 20 m Länge.;Begegnungsverbot für Fahrzeuge über 20 m Länge.;A;Schifffahrtszeichen & Fahrwasser;Zeichen / Betonnung;Schifffahrtszeichen und Fahrwasserinformationen interpretieren;true;SBFSEE-0017 | SBFBIN-0017;shared_basis;"Richtig.

Überholverbot. Das dargestellte Zeichen bedeutet „Überholverbot“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";"Falsch.

Richtig ist: „Überholverbot.“

Das dargestellte Zeichen bedeutet „Überholverbot“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";multiple_choice;Feedback erstellt
SBF-BASIS-0018;18;Basis;Basisfragen;See + Binnen;Welche Bedeutung hat folgendes Tafelzeichen?;Begegnungsverbot an einer Engstelle.;Begegnungsverbot für Fahrzeuge über 12 m Länge.;"Überholverbot; mit Gegenverkehr muss gerechnet werden.";Überholverbot für alle Fahrzeuge.;A;Schifffahrtszeichen & Fahrwasser;Zeichen / Betonnung;Schifffahrtszeichen und Fahrwasserinformationen interpretieren;true;SBFSEE-0018 | SBFBIN-0018;shared_basis;"Richtig.

Begegnungsverbot an einer Engstelle. Das dargestellte Zeichen bedeutet „Begegnungsverbot an einer Engstelle“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";"Falsch.

Richtig ist: „Begegnungsverbot an einer Engstelle.“

Das dargestellte Zeichen bedeutet „Begegnungsverbot an einer Engstelle“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";multiple_choice;Feedback erstellt
SBF-BASIS-0019;19;Basis;Basisfragen;See + Binnen;Welche Bedeutung hat folgendes Tafelzeichen?;Sog und Wellenschlag vermeiden.;"Gefährdeter Strandbereich, Überspülungsgefahr; Mindestpassierabstand 100 m.";"Wasserstraße, die jederzeit sicher befahren werden kann; keine Gefahr durch Seegang.";"Wasserstraße, die nicht jederzeit sicher befahren werden kann; Gefahr durch Seegang.";A;Schifffahrtszeichen & Fahrwasser;Zeichen / Betonnung;Schifffahrtszeichen und Fahrwasserinformationen interpretieren;true;SBFSEE-0019 | SBFBIN-0019;shared_basis;"Richtig.

Sog und Wellenschlag vermeiden. Das dargestellte Zeichen bedeutet „Sog und Wellenschlag vermeiden“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";"Falsch.

Richtig ist: „Sog und Wellenschlag vermeiden.“

Das dargestellte Zeichen bedeutet „Sog und Wellenschlag vermeiden“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";multiple_choice;Feedback erstellt
SBF-BASIS-0020;20;Basis;Basisfragen;See + Binnen;Welche Bedeutung hat folgendes Tafelzeichen?;Mindestabstand in Metern, der in der nachfolgenden Strecke vom Aufstellungsort der Tafel an eingehalten werden muss.;Maximalgeschwindigkeit in km/h, die auf der in Fahrtrichtung rechten Fahrwasserseite nicht überschritten werden darf.;Maximalabstand in Metern, der in der nachfolgenden Strecke vom Aufstellungsort der Tafel an eingehalten werden muss.;Verengung des Fahrwassers auf 40 m.;A;Schifffahrtszeichen & Fahrwasser;Zeichen / Betonnung;Schifffahrtszeichen und Fahrwasserinformationen interpretieren;true;SBFSEE-0020 | SBFBIN-0020;shared_basis;"Richtig.

Mindestabstand in Metern, der in der nachfolgenden Strecke vom Aufstellungsort der Tafel an eingehalten werden muss. Das dargestellte Zeichen bedeutet „Mindestabstand in Metern, der in der nachfolgenden Strecke vom Aufstellungsort der Tafel an eingehalten werden muss“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";"Falsch.

Richtig ist: „Mindestabstand in Metern, der in der nachfolgenden Strecke vom Aufstellungsort der Tafel an eingehalten werden muss.“

Das dargestellte Zeichen bedeutet „Mindestabstand in Metern, der in der nachfolgenden Strecke vom Aufstellungsort der Tafel an eingehalten werden muss“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";multiple_choice;Feedback erstellt
SBF-BASIS-0021;21;Basis;Basisfragen;See + Binnen;Welche Bedeutung hat folgendes Tafelzeichen?;Haltegebot vor beweglichen Brücken, Sperrwerken und Schleusen.;Dauernde Sperrung einer Teilstrecke der Wasserstraße.;Gebot zur Abgabe eines langen Signaltons.;Weiterfahrt für Sportfahrzeuge verboten.;A;Schifffahrtszeichen & Fahrwasser;Zeichen / Betonnung;Schifffahrtszeichen und Fahrwasserinformationen interpretieren;true;SBFSEE-0021 | SBFBIN-0021;shared_basis;"Richtig.

Haltegebot vor beweglichen Brücken, Sperrwerken und Schleusen. Das dargestellte Zeichen bedeutet „Haltegebot vor beweglichen Brücken, Sperrwerken und Schleusen“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";"Falsch.

Richtig ist: „Haltegebot vor beweglichen Brücken, Sperrwerken und Schleusen.“

Das dargestellte Zeichen bedeutet „Haltegebot vor beweglichen Brücken, Sperrwerken und Schleusen“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";multiple_choice;Feedback erstellt
SBF-BASIS-0022;22;Basis;Basisfragen;See + Binnen;Welche Bedeutung hat folgendes Tafelzeichen?;Ankern verboten für alle Fahrzeuge.;Ankern verboten für Kleinfahrzeuge unter 12 m Länge.;Ankern verboten für Kleinfahrzeuge ab 12 m Länge.;Ankern und Festmachen verboten.;A;Schifffahrtszeichen & Fahrwasser;Zeichen / Betonnung;Schifffahrtszeichen und Fahrwasserinformationen interpretieren;true;SBFSEE-0022 | SBFBIN-0022;shared_basis;"Richtig.

Ankern verboten für alle Fahrzeuge. Das dargestellte Zeichen bedeutet „Ankern verboten für alle Fahrzeuge“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";"Falsch.

Richtig ist: „Ankern verboten für alle Fahrzeuge.“

Das dargestellte Zeichen bedeutet „Ankern verboten für alle Fahrzeuge“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";multiple_choice;Feedback erstellt
SBF-BASIS-0023;23;Basis;Basisfragen;See + Binnen;Welche Bedeutung haben folgende Tafelzeichen?;Festmache- und Liegeverbot.;Festmache- und Liegeverbot für Sportboote.;Festmache- und Liegeverbot für Sportboote über 12 m Länge.;Festmache- und Liegeverbot für gewerbliche Schiffe.;A;Schifffahrtszeichen & Fahrwasser;Zeichen / Betonnung;Schifffahrtszeichen und Fahrwasserinformationen interpretieren;true;SBFSEE-0023 | SBFBIN-0023;shared_basis;"Richtig.

Festmache- und Liegeverbot. Das dargestellte Zeichen bedeutet „Festmache- und Liegeverbot“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";"Falsch.

Richtig ist: „Festmache- und Liegeverbot.“

Das dargestellte Zeichen bedeutet „Festmache- und Liegeverbot“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";multiple_choice;Feedback erstellt
SBF-BASIS-0024;24;Basis;Basisfragen;See + Binnen;Welche Bedeutung hat folgendes Tafelzeichen?;Abgabe eines langen Tons.;Abgabe eines kurzen Tons.;Abgabe von zwei langen Tönen.;Abgabe eines kurzen und eines langen Tons.;A;Schifffahrtszeichen & Fahrwasser;Zeichen / Betonnung;Schifffahrtszeichen und Fahrwasserinformationen interpretieren;false;SBFSEE-0024 | SBFBIN-0024;shared_basis;"Richtig.

Abgabe eines langen Tons. Das dargestellte Zeichen bedeutet „Abgabe eines langen Tons“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";"Falsch.

Richtig ist: „Abgabe eines langen Tons.“

Das dargestellte Zeichen bedeutet „Abgabe eines langen Tons“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";multiple_choice;Feedback erstellt
SBF-BASIS-0025;25;Basis;Basisfragen;See + Binnen;Welche Bedeutung haben folgende Tafelzeichen?;Wasserflächen, auf denen mit Wasserski oder Wassermotorrädern gefahren werden darf.;Genehmigungspflichtige Übungsstrecke für das Fahren mit Wasserski oder Wassermotorrädern.;Fahren mit Wasserski oder Wassermotorrädern erlaubt. Wasserskiläufer und Wassermotorräder haben Vorfahrt.;Genehmigungsfreie Übungsstrecke für das Fahren mit Wasserski oder Wassermotorrädern.;A;Schifffahrtszeichen & Fahrwasser;Zeichen / Betonnung;Schifffahrtszeichen und Fahrwasserinformationen interpretieren;true;SBFSEE-0025 | SBFBIN-0025;shared_basis;"Richtig.

Wasserflächen, auf denen mit Wasserski oder Wassermotorrädern gefahren werden darf. Das dargestellte Zeichen bedeutet „Wasserflächen, auf denen mit Wasserski oder Wassermotorrädern gefahren werden darf“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";"Falsch.

Richtig ist: „Wasserflächen, auf denen mit Wasserski oder Wassermotorrädern gefahren werden darf.“

Das dargestellte Zeichen bedeutet „Wasserflächen, auf denen mit Wasserski oder Wassermotorrädern gefahren werden darf“. Gebots-, Verbots- und Betriebssignale sind verbindlich und müssen vor dem Einfahren in den betroffenen Bereich erkannt und befolgt werden.";multiple_choice;Feedback erstellt
